Order ID,Order Date,Dispatch Date,Delivery Date,Seller ID,Product Category,Price,Quantity,Warehouse Zone,Customer Rating,Review Text,Sentiment Score,Return Flag,Complaint Code,Delivery Method,Customer Region
O00000,5/28/2025,5/30/2025,6/6/2025,S033,Fashion,193.52,1,Kano,4,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Express,North Central
O00001,6/24/2025,6/26/2025,7/3/2025,S018,Groceries,86.45,3,Lagos,3,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Standard,Volta
O00002,,6/6/2025,6/7/2025,S036,Home & Living,80,3,Kumasi,4,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,Ashanti
O00003,,6/24/2025,6/28/2025,S001,Health,469.89,2,Kano,4,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Pickup,North Central
O00004,,4/14/2025,4/22/2025,S024,Groceries,309.71,1,Accra,3,Item arrived in perfect condition and works well.,1,No,No Complaint,Standard,Greater Accra
O00005,,5/10/2025,5/12/2025,S003,Health,309.81,2,Kumasi,3,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Pickup,Volta
O00006,5/15/2025,5/17/2025,5/21/2025,S034,Health,491.78,1,Accra,4,Low quality. Would not recommend at all.,0,No,No Complaint,Express,Greater Accra
O00007,5/18/2025,5/19/2025,5/22/2025,S015,Groceries,93.56,3,Kumasi,5,Arrived late and the item looks used.,-0.3,No,No Complaint,Standard,Greater Accra
O00008,6/11/2025,6/11/2025,6/20/2025,S042,Toys,286.01,2,Kumasi,1,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,Ashanti
O00009,5/9/2025,5/12/2025,5/19/2025,S023,Home & Living,225.67,3,Lagos,1,Arrived late and the item looks used.,-0.3,No,No Complaint,Pickup,Volta
O00010,4/24/2025,4/27/2025,4/28/2025,S023,Health,136.8,4,Kumasi,3,"Met my expectations, nothing more.",0.5,No,No Complaint,Pickup,Greater Accra
O00011,5/31/2025,6/4/2025,6/5/2025,S011,Health,111.89,4,Accra,4,"Just received it, will see how it performs over time.",0,No,No Complaint,Express,South West
O00012,5/2/2025,5/5/2025,5/12/2025,S005,Fashion,470.35,2,Lagos,4,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Pickup,South East
O00013,5/16/2025,5/20/2025,5/21/2025,S046,Electronics,265.21,2,Lagos,4,"Just received it, will see how it performs over time.",0,No,No Complaint,Pickup,South East
O00014,6/20/2025,6/23/2025,7/1/2025,S049,Home & Living,297.51,1,Kumasi,3,Item arrived in perfect condition and works well.,1,No,No Complaint,Standard,Volta
O00015,6/12/2025,6/12/2025,6/19/2025,S045,Toys,90.98,1,Kano,3,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Pickup,South East
O00016,4/16/2025,4/18/2025,4/20/2025,S025,Electronics,153.81,3,Kumasi,4,,,No,No Complaint,Standard,Ashanti
O00017,4/18/2025,4/20/2025,4/24/2025,S044,Electronics,367.21,1,Accra,5,,,No,No Complaint,Express,North Central
O00018,6/19/2025,6/19/2025,6/26/2025,S013,Groceries,329.03,4,Lagos,3,,,No,No Complaint,Pickup,South West
O00019,4/17/2025,4/21/2025,4/23/2025,S030,Groceries,56.75,3,Lagos,4,,,No,No Complaint,Standard,Greater Accra
O00020,6/15/2025,6/15/2025,6/17/2025,S035,Groceries,144.61,3,Kumasi,2,,,No,No Complaint,Express,Ashanti
O00021,4/8/2025,4/10/2025,4/18/2025,S050,Toys,382.78,2,Lagos,4,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Pickup,North Central
O00022,5/13/2025,5/17/2025,5/19/2025,S026,Home & Living,64.34,4,Lagos,1,Item arrived in perfect condition and works well.,1,No,No Complaint,Pickup,Volta
O00023,6/23/2025,6/26/2025,6/30/2025,S028,Health,164.03,4,Lagos,3,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,South West
O00024,5/2/2025,5/6/2025,5/9/2025,S043,Toys,211.09,3,Accra,5,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,South West
O00025,6/23/2025,6/26/2025,6/27/2025,S004,Home & Living,303.44,3,Lagos,4,Fake product and horrible packaging.,-0.75,No,No Complaint,Express,South East
O00026,5/23/2025,5/26/2025,5/29/2025,S026,Electronics,154.86,1,Lagos,5,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Pickup,Greater Accra
O00027,6/8/2025,6/11/2025,6/19/2025,S003,Home & Living,274.28,2,Accra,3,Terrible experience. Product was broken.,-0.7,No,No Complaint,Express,Volta
O00028,5/25/2025,5/27/2025,6/4/2025,S023,Home & Living,63.93,1,Kumasi,5,Arrived late and the item looks used.,-0.3,No,No Complaint,Express,South West
O00029,5/4/2025,5/6/2025,5/14/2025,S045,Home & Living,431.76,3,Lagos,4,Item arrived in perfect condition and works well.,1,No,No Complaint,Pickup,South East
O00030,6/3/2025,6/6/2025,6/13/2025,S047,Health,349.29,2,Lagos,5,Low quality. Would not recommend at all.,0,No,No Complaint,Pickup,South West
O00031,4/23/2025,4/23/2025,4/26/2025,S049,Health,168.37,4,Accra,3,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Standard,North Central
O00032,5/6/2025,5/9/2025,5/15/2025,S023,Electronics,486.17,4,Lagos,4,Superb service and product. Will buy again.,1,No,No Complaint,Express,South East
O00033,5/13/2025,5/13/2025,5/13/2025,S022,Home & Living,157.43,1,Kumasi,5,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,Ashanti
O00034,5/30/2025,6/3/2025,6/3/2025,S031,Fashion,211.41,3,Lagos,4,Item arrived in perfect condition and works well.,1,No,No Complaint,Pickup,South East
O00035,5/19/2025,5/22/2025,5/31/2025,S017,Health,343.55,1,Kumasi,5,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Express,South West
O00036,6/19/2025,6/21/2025,6/28/2025,S036,Fashion,128.61,4,Kano,3,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Express,Greater Accra
O00037,5/8/2025,5/12/2025,5/15/2025,S003,Groceries,366.83,4,Kumasi,5,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Pickup,Ashanti
O00038,5/22/2025,5/22/2025,5/30/2025,S019,Electronics,205.42,3,Kumasi,3,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Standard,Ashanti
O00039,4/13/2025,4/15/2025,4/18/2025,S014,Electronics,101.39,1,Kumasi,3,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,Volta
O00040,6/1/2025,6/3/2025,6/5/2025,S004,Home & Living,117.92,2,Kano,3,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,Greater Accra
O00041,6/2/2025,6/2/2025,6/9/2025,S021,Groceries,57.13,1,Kano,3,,,No,No Complaint,Pickup,Ashanti
O00042,6/5/2025,6/7/2025,6/15/2025,S008,Electronics,469,1,Lagos,2,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,North Central
O00043,6/16/2025,6/19/2025,6/28/2025,S037,Electronics,439.9,3,Kumasi,5,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,North Central
O00044,6/23/2025,6/24/2025,6/24/2025,S033,Toys,263.15,1,Accra,1,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,North Central
O00045,5/5/2025,5/5/2025,5/13/2025,S022,Health,451.2,3,Accra,3,"Just received it, will see how it performs over time.",0,No,No Complaint,Standard,South West
O00046,4/20/2025,4/23/2025,4/30/2025,S047,Electronics,365.72,3,Kumasi,3,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Standard,Volta
O00047,4/21/2025,4/23/2025,4/23/2025,S039,Home & Living,445.01,4,Accra,2,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Express,Ashanti
O00048,4/13/2025,4/13/2025,4/15/2025,S041,Health,307.15,3,Lagos,5,Terrible experience. Product was broken.,-0.7,No,No Complaint,Express,North Central
O00049,6/4/2025,6/5/2025,6/6/2025,S016,Health,149.12,2,Accra,4,Low quality. Would not recommend at all.,0,No,No Complaint,Standard,North Central
O00050,5/27/2025,5/30/2025,5/30/2025,S047,Fashion,329.46,1,Accra,1,"Just received it, will see how it performs over time.",0,No,No Complaint,Standard,Volta
O00051,5/19/2025,5/21/2025,5/21/2025,S027,Health,97.62,4,Lagos,3,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,North Central
O00052,5/29/2025,5/31/2025,6/5/2025,S049,Toys,275.84,3,Lagos,3,Superb service and product. Will buy again.,1,No,No Complaint,Express,North Central
O00053,5/3/2025,5/7/2025,5/9/2025,S048,Home & Living,129.55,2,Lagos,5,Terrible experience. Product was broken.,-0.7,No,No Complaint,Pickup,Volta
O00054,5/14/2025,,5/18/2025,S030,Home & Living,319.26,2,Kumasi,4,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Express,South East
O00055,6/9/2025,,6/14/2025,S001,Groceries,251.33,1,Lagos,4,Superb service and product. Will buy again.,1,No,No Complaint,Standard,South East
O00056,6/16/2025,,6/20/2025,S006,Groceries,386.59,4,Lagos,5,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Pickup,North Central
O00057,4/14/2025,,4/18/2025,S014,Electronics,376.38,1,Kano,4,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Standard,Volta
O00058,4/16/2025,4/16/2025,4/19/2025,S036,Toys,290.42,4,Lagos,3,Fake product and horrible packaging.,-0.75,No,No Complaint,Standard,Greater Accra
O00059,6/23/2025,6/23/2025,6/25/2025,S028,Home & Living,198.7,3,Kumasi,2,Packaging could be better but the item works fine.,0.458333333,No,No Complaint,Express,South West
O00060,6/16/2025,6/18/2025,6/25/2025,S001,Fashion,468.72,2,,1,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Pickup,Ashanti
O00061,4/16/2025,4/17/2025,4/26/2025,S023,Groceries,338.86,3,,5,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,No,No Complaint,Standard,Greater Accra
O00062,5/30/2025,5/30/2025,6/4/2025,S038,Groceries,372.98,1,,3,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Pickup,Volta
O00063,6/21/2025,6/22/2025,6/24/2025,S005,Toys,153.86,3,Accra,3,Low quality. Would not recommend at all.,0,No,No Complaint,Express,South East
O00064,5/20/2025,5/21/2025,5/27/2025,S045,Groceries,309.64,4,Accra,4,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Standard,Ashanti
O00065,5/2/2025,5/5/2025,5/7/2025,S007,Electronics,401.16,1,Lagos,3,"Just received it, will see how it performs over time.",0,No,No Complaint,Pickup,Ashanti
O00066,6/20/2025,6/22/2025,6/30/2025,S031,Home & Living,194.04,2,Lagos,2,"Met my expectations, nothing more.",0.5,No,No Complaint,Standard,South West
O00067,4/16/2025,4/16/2025,4/19/2025,S008,Fashion,421.08,2,Kano,1,"Delivery was average, product as expected.",-0.125,No,No Complaint,Express,Volta
O00068,5/4/2025,5/4/2025,5/11/2025,S049,Fashion,273.17,1,Kumasi,4,"Met my expectations, nothing more.",0.5,No,No Complaint,Express,Greater Accra
O00069,6/10/2025,6/13/2025,6/18/2025,S025,Electronics,115.75,1,Lagos,1,Item arrived in perfect condition and works well.,1,No,No Complaint,Standard,Volta
O00070,5/4/2025,5/7/2025,5/8/2025,S038,Toys,274.91,3,Kumasi,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Standard,Greater Accra
O00071,6/7/2025,6/9/2025,6/18/2025,S040,Electronics,168.25,1,Kano,1,Terrible experience. Product was broken.,-0.7,Yes,Wrong Color,Express,Greater Accra
O00072,4/27/2025,4/27/2025,5/1/2025,S012,Home & Living,481.7,3,Accra,1,Low quality. Would not recommend at all.,0,No,No Complaint,Standard,Ashanti
O00073,4/20/2025,4/20/2025,4/27/2025,S035,Health,226.75,4,Kumasi,5,Arrived late and the item looks used.,-0.3,No,No Complaint,Express,Volta
O00074,4/15/2025,4/19/2025,4/24/2025,S046,Health,322.75,1,Accra,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Standard,South West
O00075,4/10/2025,4/12/2025,4/16/2025,S002,Groceries,33.38,2,Accra,2,Very disappointed. Not what was shown online.,-0.975,No,No Complaint,Standard,Greater Accra
O00076,5/8/2025,5/8/2025,5/11/2025,S004,Home & Living,54.98,3,Lagos,2,Very disappointed. Not what was shown online.,-0.975,Yes,Broken Item,Pickup,South East
O00077,5/26/2025,5/29/2025,5/29/2025,S024,Toys,384.05,1,Accra,4,Excellent quality and affordable price. Highly recommend.,0.58,No,No Complaint,Standard,North Central
O00078,4/19/2025,4/20/2025,4/25/2025,S043,Health,328.39,2,Accra,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,South East
O00079,6/6/2025,6/7/2025,6/16/2025,S036,Home & Living,32.2,3,Kano,5,"Absolutely love this product, great value for money.",0.65,No,No Complaint,Express,North Central
O00080,5/19/2025,5/23/2025,5/26/2025,S030,Electronics,255.51,4,Kumasi,4,"Met my expectations, nothing more.",0.5,No,No Complaint,Express,South East
O00081,6/24/2025,6/24/2025,6/27/2025,S028,Groceries,472.51,2,Accra,4,"Just received it, will see how it performs over time.",0,No,No Complaint,Standard,Volta
O00082,6/4/2025,6/4/2025,6/4/2025,S042,Electronics,200.2,4,Kano,5,Fake product and horrible packaging.,-0.75,No,No Complaint,Pickup,North Central
O00083,,5/29/2025,5/29/2025,S004,Home & Living,412.11,4,Lagos,5,"It's okay, not too bad but not amazing either.",-0.166666667,No,No Complaint,Express,North Central
O00084,,4/24/2025,4/25/2025,S014,Electronics,453.62,4,Kumasi,1,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,Volta
O00085,,4/17/2025,4/26/2025,S010,Electronics,174.91,2,Kumasi,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Pickup,Volta
O00086,4/28/2025,4/28/2025,5/4/2025,S004,Health,176.91,3,Lagos,2,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,Greater Accra
O00087,4/30/2025,5/3/2025,5/11/2025,S006,Health,318.18,1,Lagos,5,"Just received it, will see how it performs over time.",0,No,No Complaint,Pickup,North Central
O00088,5/20/2025,5/24/2025,6/1/2025,S024,Electronics,148.2,2,Lagos,4,Item arrived in perfect condition and works well.,1,No,No Complaint,Express,Volta
O00089,5/12/2025,5/15/2025,5/16/2025,S048,Toys,292.2,3,Lagos,3,Terrible experience. Product was broken.,-0.7,No,No Complaint,Pickup,North Central
O00090,4/11/2025,4/15/2025,4/15/2025,S008,Toys,294.47,3,Kano,4,"Just received it, will see how it performs over time.",0,No,No Complaint,Pickup,South East
O00091,6/12/2025,6/12/2025,6/12/2025,S002,Fashion,372.56,3,Kumasi,4,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,Greater Accra
O00092,5/1/2025,5/5/2025,5/7/2025,S013,Toys,253.31,1,Kano,3,"Delivery was average, product as expected.",-0.125,No,No Complaint,Express,South West
O00093,6/17/2025,6/19/2025,6/27/2025,S019,Toys,15.31,1,Kumasi,3,"Just received it, will see how it performs over time.",0,No,No Complaint,Standard,South East
O00094,4/11/2025,4/14/2025,4/16/2025,S013,Groceries,475.53,4,Kumasi,4,Low quality. Would not recommend at all.,0,No,No Complaint,Pickup,North Central
O00095,4/19/2025,4/21/2025,4/29/2025,S015,Groceries,50.81,1,Kano,4,"Delivery was average, product as expected.",-0.125,No,No Complaint,Standard,Greater Accra
O00096,5/28/2025,5/28/2025,6/3/2025,S030,Health,114.24,1,Kumasi,1,Fake product and horrible packaging.,-0.75,No,No Complaint,Express,Volta
O00097,6/16/2025,6/17/2025,6/21/2025,S041,Fashion,38.2,3,Kumasi,4,Terrible experience. Product was broken.,-0.7,No,No Complaint,Standard,Greater Accra
